# Generated from NASA TM-4302 polynomial model (Jackson & Cruz 1992) by generate_aero_tables.py
# rows: alpha -10.0..30.0 deg, cols: beta -10.0..10.0 deg
4.484899000000001079e-01,4.524878240000000940e-01,4.577007640000000377e-01,4.641319840000000529e-01,4.717027639999999966e-01,4.802523999999999682e-01,4.895382040000000323e-01,4.992355040000000521e-01,5.089376439999999668e-01,5.181559840000000694e-01,5.263199000000000627e-01,5.181559840000000694e-01,5.089376439999999668e-01,4.992355040000000521e-01,4.895382040000000323e-01,4.802523999999999682e-01,4.717027639999999966e-01,4.641319840000000529e-01,4.577007640000000377e-01,4.524878240000000940e-01,4.484899000000001079e-01
4.031369513849000219e-01,4.066486753849000158e-01,4.113754153848999673e-01,4.173204353849000459e-01,4.244050153848999418e-01,4.324684513849000322e-01,4.412680553848999931e-01,4.504791553849000207e-01,4.596950953848999988e-01,4.684272353848999426e-01,4.761049513848999992e-01,4.684272353848999426e-01,4.596950953848999988e-01,4.504791553849000207e-01,4.412680553848999931e-01,4.324684513849000322e-01,4.244050153848999418e-01,4.173204353849000459e-01,4.113754153848999673e-01,4.066486753849000158e-01,4.031369513849000219e-01
3.603136905216000052e-01,3.633392145216000069e-01,3.675797545216000772e-01,3.730385745216000526e-01,3.796369545216000119e-01,3.872141905215999991e-01,3.955275945216000233e-01,4.042524945216000032e-01,4.129822345215999890e-01,4.212281745215999407e-01,4.284196905216000051e-01,4.212281745215999407e-01,4.129822345215999890e-01,4.042524945216000032e-01,3.955275945216000233e-01,3.872141905215999991e-01,3.796369545216000119e-01,3.730385745216000526e-01,3.675797545216000772e-01,3.633392145216000069e-01,3.603136905216000052e-01
3.195239726160999938e-01,3.220632966160999477e-01,3.258176366161000259e-01,3.307902566161000091e-01,3.369024366160999762e-01,3.439934726161000267e-01,3.518206766161000032e-01,3.600593766160999354e-01,3.683029166160999845e-01,3.760626566160999995e-01,3.827679726161000162e-01,3.760626566160999995e-01,3.683029166160999845e-01,3.600593766160999354e-01,3.518206766161000032e-01,3.439934726161000267e-01,3.369024366160999762e-01,3.307902566161000091e-01,3.258176366161000259e-01,3.220632966160999477e-01,3.195239726160999938e-01
2.803321025984000237e-01,2.823852265984000409e-01,2.856533665984000159e-01,2.901397865984000624e-01,2.957657665984000928e-01,3.023706025984000401e-01,3.097116065984000244e-01,3.174641065984000199e-01,3.252214465984000213e-01,3.324949865984000441e-01,3.387141025984000131e-01,3.324949865984000441e-01,3.252214465984000213e-01,3.174641065984000199e-01,3.097116065984000244e-01,3.023706025984000401e-01,2.957657665984000928e-01,2.901397865984000624e-01,2.856533665984000159e-01,2.823852265984000409e-01,2.803321025984000237e-01
2.423591390625000341e-01,2.439260630625000315e-01,2.467080030625000142e-01,2.507082230625000130e-01,2.558480030624999957e-01,2.619666390625000063e-01,2.688214430624999984e-01,2.760877430624999462e-01,2.833588830624999555e-01,2.901462230624999861e-01,2.958791390625000184e-01,2.901462230624999861e-01,2.833588830624999555e-01,2.760877430624999462e-01,2.688214430624999984e-01,2.619666390625000063e-01,2.558480030624999957e-01,2.507082230625000130e-01,2.467080030625000142e-01,2.439260630625000315e-01,2.423591390625000341e-01
2.052792838143999710e-01,2.063600078143999483e-01,2.086557478143999667e-01,2.121697678143999732e-01,2.168233478143999637e-01,2.224557838143999822e-01,2.288243878143999821e-01,2.356044878143999655e-01,2.423894278143999825e-01,2.486905678143999654e-01,2.539372838143999500e-01,2.486905678143999654e-01,2.423894278143999825e-01,2.356044878143999655e-01,2.288243878143999821e-01,2.224557838143999822e-01,2.168233478143999637e-01,2.121697678143999732e-01,2.086557478143999667e-01,2.063600078143999483e-01,2.052792838143999710e-01
1.688163570280999670e-01,1.694108810280999522e-01,1.712204210280999783e-01,1.742482410280999650e-01,1.784156210280999633e-01,1.835618570280999895e-01,1.894442610280999695e-01,1.957381610280999606e-01,2.020369010280999855e-01,2.078518410280999484e-01,2.126123570280999686e-01,2.078518410280999484e-01,2.020369010280999855e-01,1.957381610280999606e-01,1.894442610280999695e-01,1.835618570280999895e-01,1.784156210280999633e-01,1.742482410280999650e-01,1.712204210280999783e-01,1.694108810280999522e-01,1.688163570280999670e-01
1.327403580096000180e-01,1.328486820095999832e-01,1.341720220096000171e-01,1.367136420095999838e-01,1.403948220096000177e-01,1.450548580096000240e-01,1.504510620096000117e-01,1.562587620096000107e-01,1.620713020096000156e-01,1.674000420096000141e-01,1.716743580096000144e-01,1.674000420096000141e-01,1.620713020096000156e-01,1.562587620096000107e-01,1.504510620096000117e-01,1.450548580096000240e-01,1.403948220096000177e-01,1.367136420095999838e-01,1.341720220096000171e-01,1.328486820095999832e-01,1.327403580096000180e-01
9.686411156890001317e-02,9.648623556890000008e-02,9.732337556890000019e-02,9.937879556890000243e-02,1.025737755689000164e-01,1.067476115689000027e-01,1.116576155688999983e-01,1.169791155689000051e-01,1.223054555689000178e-01,1.271479955688999963e-01,1.309361115689000044e-01,1.271479955688999963e-01,1.223054555689000178e-01,1.169791155689000051e-01,1.116576155688999983e-01,1.067476115689000027e-01,1.025737755689000164e-01,9.937879556890000243e-02,9.732337556890000019e-02,9.648623556890000008e-02,9.686411156890001317e-02
