# Generated from NASA TM-4302 polynomial model (Jackson & Cruz 1992) by generate_aero_tables.py
# rows: alpha -10.0..30.0 deg, cols: beta -10.0..10.0 deg
3.807420000000000249e-02,3.870188100000000048e-02,3.969537599999999056e-02,4.090070100000000458e-02,4.219605599999999568e-02,4.349182499999999785e-02,4.473057600000000106e-02,4.588706099999999982e-02,4.696821600000000013e-02,4.801316099999999865e-02,4.909319999999999656e-02,4.801316099999999865e-02,4.696821600000000013e-02,4.588706099999999982e-02,4.473057600000000106e-02,4.349182499999999785e-02,4.219605599999999568e-02,4.090070100000000458e-02,3.969537599999999056e-02,3.870188100000000048e-02,3.807420000000000249e-02
3.586278822800000043e-02,3.642985922799999582e-02,3.736274422800000411e-02,3.850745922800000165e-02,3.974220422800000402e-02,4.097736322800000358e-02,4.215550422800000419e-02,4.325137922800000728e-02,4.427192422799999805e-02,4.525625922800000089e-02,4.627568822800000314e-02,4.525625922800000089e-02,4.427192422799999805e-02,4.325137922800000728e-02,4.215550422800000419e-02,4.097736322800000358e-02,3.974220422800000402e-02,3.850745922800000165e-02,3.736274422800000411e-02,3.642985922799999582e-02,3.586278822800000043e-02
3.393669516800000563e-02,3.444315616799999841e-02,3.531543116799999715e-02,3.639953616799999903e-02,3.757367116799999879e-02,3.874822016800000268e-02,3.986575116800000068e-02,4.090101616800000811e-02,4.186095116800000321e-02,4.278467616800000345e-02,4.374349516800000309e-02,4.278467616800000345e-02,4.186095116800000321e-02,4.090101616800000811e-02,3.986575116800000068e-02,3.874822016800000268e-02,3.757367116799999879e-02,3.639953616799999903e-02,3.531543116799999715e-02,3.444315616799999841e-02,3.393669516800000563e-02
3.220715900999999992e-02,3.265301000999999703e-02,3.346467500999999317e-02,3.448817001000000632e-02,3.560169500999999653e-02,3.671563400999999782e-02,3.777255501000000709e-02,3.874721000999999804e-02,3.964653500999999747e-02,4.050965001000000204e-02,4.140785900999999908e-02,4.050965001000000204e-02,3.964653500999999747e-02,3.874721000999999804e-02,3.777255501000000709e-02,3.671563400999999782e-02,3.560169500999999653e-02,3.448817001000000632e-02,3.346467500999999317e-02,3.265301000999999703e-02,3.220715900999999992e-02
3.060310918400000607e-02,3.098835018400000058e-02,3.173940518400000105e-02,3.270229018400000465e-02,3.375520518399999920e-02,3.480853418399999788e-02,3.580484518400000454e-02,3.671889018399999982e-02,3.755760518400000358e-02,3.836011018400000555e-02,3.919770918399999998e-02,3.836011018400000555e-02,3.755760518400000358e-02,3.671889018399999982e-02,3.580484518400000454e-02,3.480853418399999788e-02,3.375520518399999920e-02,3.270229018400000465e-02,3.173940518400000105e-02,3.098835018400000058e-02,3.060310918400000607e-02
2.906907499999999284e-02,2.939370599999999861e-02,3.008415099999999648e-02,3.098642600000000094e-02,3.197873099999999635e-02,3.297144999999999243e-02,3.390715100000000343e-02,3.476058599999999610e-02,3.553869099999999032e-02,3.628058600000000355e-02,3.705757499999999538e-02,3.628058600000000355e-02,3.553869099999999032e-02,3.476058599999999610e-02,3.390715100000000343e-02,3.297144999999999243e-02,3.197873099999999635e-02,3.098642600000000094e-02,3.008415099999999648e-02,2.939370599999999861e-02,2.906907499999999284e-02
2.756321740800000281e-02,2.782723840799999904e-02,2.845707340800000124e-02,2.929873840800000656e-02,3.023043340799999937e-02,3.116254240799999631e-02,3.203763340800000470e-02,3.283045840800000170e-02,3.354795340800000719e-02,3.422923840800000395e-02,3.494561740800000010e-02,3.422923840800000395e-02,3.354795340800000719e-02,3.283045840800000170e-02,3.203763340800000470e-02,3.116254240799999631e-02,3.023043340799999937e-02,2.929873840800000656e-02,2.845707340800000124e-02,2.782723840799999904e-02,2.756321740800000281e-02
2.605548387799999643e-02,2.625889487799999700e-02,2.682811987799999659e-02,2.760917487799999931e-02,2.848025987799999645e-02,2.935175887799999772e-02,3.016623987800000004e-02,3.089845487799999790e-02,3.155533987800000079e-02,3.217601487800000187e-02,3.283178387799999542e-02,3.217601487800000187e-02,3.155533987800000079e-02,3.089845487799999790e-02,3.016623987800000004e-02,2.935175887799999772e-02,2.848025987799999645e-02,2.760917487799999931e-02,2.682811987799999659e-02,2.625889487799999700e-02,2.605548387799999643e-02
2.452588640000000209e-02,2.466868740000000004e-02,2.517730240000000397e-02,2.589774740000000061e-02,2.670822239999999861e-02,2.751911140000000075e-02,2.827298240000000393e-02,2.894458740000000266e-02,2.954086239999999947e-02,3.010092740000000142e-02,3.069608640000000277e-02,3.010092740000000142e-02,2.954086239999999947e-02,2.894458740000000266e-02,2.827298240000000393e-02,2.751911140000000075e-02,2.670822239999999861e-02,2.589774740000000061e-02,2.517730240000000397e-02,2.466868740000000004e-02,2.452588640000000209e-02
2.296290260399999963e-02,2.304509360399999846e-02,2.349309860399999977e-02,2.415293360400000075e-02,2.490279860399999962e-02,2.565307760399999915e-02,2.634633860399999972e-02,2.695733360399999931e-02,2.749299860400000045e-02,2.799245360399999979e-02,2.852700260399999854e-02,2.799245360399999979e-02,2.749299860400000045e-02,2.695733360399999931e-02,2.634633860399999972e-02,2.565307760399999915e-02,2.490279860399999962e-02,2.415293360400000075e-02,2.349309860399999977e-02,2.304509360399999846e-02,2.296290260399999963e-02
